id,alter,genre,categories,released,eigenschaften,original_price,recommendations
504010,,Education; Early Access,Steam Achievements; Tracked Controller Support; VR Supported,"26 Sep, 2016",,999.0,
504790,,Design & Illustration,,"26 Oct, 2016",,689.0,
504990,,Animation & Modeling; Design & Illustration; Utilities,Tracked Controller Support; VR Only,"18 Nov, 2017",,,
505550,,Utilities; Video Production; Early Access,Steam Achievements,"19 Oct, 2016",,,
506030,,Utilities,,"5 Sep, 2016",,,
506160,,Design & Illustration; Utilities; Video Production,Full controller support; VR Only; Includes level editor,"26 Jul, 2016",,399.0,
506780,,Design & Illustration; Utilities,Tracked Controller Support; VR Only,"26 Jul, 2016",,499.0,
508690,,Indie; Animation & Modeling,Single-player; Multi-player; PvP; Shared/Split Screen PvP; Co-op; Shared/Split Screen Co-op; Tracked Controller Support; VR Only,"19 Dec, 2018",,2499.0,
509020,,Animation & Modeling; Design & Illustration,,"3 Jun, 2021",,,
509510,,Utilities,Tracked Controller Support; VR Only,Coming soon,,,
511360,,Education,Tracked Controller Support; VR Only,"8 Aug, 2016",,,
511720,,Video Production,,"5 Sep, 2016",,,
512400,,Utilities; Early Access,VR Only; Partial Controller Support,"17 Aug, 2016",,999.0,
512630,,Design & Illustration,Tracked Controller Support; VR Only,"5 Oct, 2018",,299.0,
513200,,Audio Production; Video Production,Tracked Controller Support; VR Supported,"1 Sep, 2016",,,
513760,,Animation & Modeling; Design & Illustration; Utilities; Early Access,Tracked Controller Support; VR Only,"1 Nov, 2016",,,
517170,,Animation & Modeling; Design & Illustration; Utilities; Video Production; Early Access,Tracked Controller Support; VR Only; Includes level editor,"25 Aug, 2016",,,
520040,,Utilities,VR Only,"5 Oct, 2016",,499.0,
520210,,Accounting; Animation & Modeling; Audio Production; Design & Illustration; Education; Photo Editing; Software Training; Utilities; Video Production; Web Publishing,Full controller support; Tracked Controller Support; VR Only,"30 Nov, 2016",,1249.0,
520350,,Education,Tracked Controller Support; VR Only; Partial Controller Support,"7 Dec, 2016",,169.0,
521880,,Design & Illustration; Education; Web Publishing; Game Development,,"20 Oct, 2016",,389.0,101.0
523050,,Animation & Modeling; Design & Illustration; Early Access,Tracked Controller Support; VR Only,"1 Sep, 2016",,1999.0,
523110,,Audio Production; Video Production,,"29 May, 2017",,,156.0
523220,,Education; Utilities,,"22 Sep, 2016",,819.0,
523410,,Animation & Modeling; Audio Production; Design & Illustration; Education; Software Training; Video Production,,"23 Oct, 2017",,779.0,
523600,,Design & Illustration; Utilities,,"18 Apr, 2017",,3899.0,505.0
524490,,Animation & Modeling; Design & Illustration; Utilities,,"5 Sep, 2016",,1750.0,
524660,,Animation & Modeling; Design & Illustration; Utilities; Video Production,Steam Achievements; Steam Workshop; Steam Cloud,"19 Sep, 2016",,1499.0,780.0
525100,,Utilities; Video Production,Tracked Controller Support; VR Only,"9 Aug, 2017",,,
525420,,Audio Production,,"20 Sep, 2016",,,
527350,,Design & Illustration; Photo Editing,,"30 Nov, 2016",,499.0,
528790,,Education; Utilities,Tracked Controller Support; VR Only,"20 Sep, 2016",,79.0,
529540,,Design & Illustration,Tracked Controller Support; VR Only,"29 Sep, 2016",,,
529640,,,,"11 Jan, 2019",,,
529830,,Animation & Modeling; Design & Illustration,Steam Workshop,"Oct 28, 2016",,2499.0,
531980,,Utilities,Tracked Controller Support; VR Only,"22 Jun, 2017",,1249.0,
534430,,Design & Illustration; Utilities,Steam Achievements; Full controller support; Tracked Controller Support; VR Only,"19 Oct, 2016",,899.0,
539010,,Education,Tracked Controller Support; VR Only,"2 Apr, 2017",,199.0,
542170,,Education,Tracked Controller Support; VR Only; Captions available,"14 Oct, 2016",,,
543510,,Audio Production,,"1 Dec, 2016",,,
544420,,Utilities; Video Production,Full controller support; Tracked Controller Support; VR Only,"3 Nov, 2016",,,
544880,,Education,Tracked Controller Support; VR Only,"25 Nov, 2016",,799.0,
545110,,Utilities,,"7 Nov, 2016",,,
547280,,Design & Illustration; Education; Software Training; Utilities,Tracked Controller Support; VR Only,"10 Nov, 2016",,5499.0,
548760,,Design & Illustration; Photo Editing; Utilities,,"1 Nov, 2016",,,
549990,,,Family Sharing,"13 Feb, 2018",,,
551370,,Animation & Modeling; Design & Illustration; Education; Early Access,Tracked Controller Support; VR Only,"15 Aug, 2017",,,131.0
551780,,Education,Tracked Controller Support; VR Only; Steam Workshop,"12 Jan, 2017",,999.0,
551960,,Accounting; Education; Software Training; Utilities; Early Access,Tracked Controller Support; VR Only; Stats,"5 Dec, 2016",,,
552770,,Software Training,Tracked Controller Support; VR Only,"11 Nov, 2016",,,
554820,,Video Production,,"19 Dec, 2016",,8499.0,
555810,,Accounting,,"19 Jan, 2017",,,
556750,,Utilities,Tracked Controller Support; VR Supported,"21 Nov, 2016",,,
